minimum_nights,amenity_score,number_of_reviews,availability_365,price_class,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.20644375020254327,0.3206059796810351,-0.45195451896852495,-0.8486301819965778,2,False,True,False,False,False,False,False,False
-0.3135143132368141,0.5023730881399535,2.3762455602533143,-0.8409745398043533,2,False,True,False,False,False,False,False,False
-0.3135143132368141,0.07132537379451812,1.1902261721925431,-0.41991421923200467,1,False,False,True,False,False,False,False,False
-0.3135143132368141,-0.6090029464374339,3.174527840678834,1.6930430258219626,1,False,False,True,False,False,False,False,False
-0.2599790317196787,-0.14679515635618384,-0.20106580226336176,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.3135143132368141,-0.1260217725323075,-0.4747625841235398,-0.8486301819965778,1,False,True,False,False,False,True,False,False
2.8450672962741756,-0.5259094111419282,-0.5203787144335694,0.7590546783705714,1,False,True,False,False,False,True,False,False
-0.09937318716827241,-1.413971569612644,-0.5203787144335694,-0.8486301819965778,0,True,False,False,False,False,True,False,False
-0.3135143132368141,-1.1802710015940348,2.9692552542837007,0.1619145873770588,1,False,False,True,False,False,True,False,False
-0.20644375020254327,0.3621527473287877,-0.42914645381351013,-0.6495834849987403,1,False,True,False,False,False,True,False,False
-0.3135143132368141,-1.9592728949893994,-0.31510612803843596,1.945679218165372,0,True,False,False,False,False,False,True,False
1.2390088507601131,-0.28701549716734964,-0.10983354164330242,1.3332278427874102,1,False,True,False,False,False,False,False,False
-0.15290846868540783,-0.9517637795313942,0.00420678413177176,1.5399301819774724,0,False,False,False,True,False,True,False,False
-0.15290846868540783,0.788007115718254,-0.4747625841235398,-0.8486301819965778,1,False,True,False,False,False,False,False,False
-0.045837905651137,1.6397158524971858,-0.3379141931934508,0.36096128437489633,2,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.8219301306321667,1.0989939115724838,1.9303679337809228,1,True,False,False,False,False,True,False,False
-0.3135143132368141,-1.1127575041664364,-0.5203787144335694,-0.8486301819965778,1,True,False,False,False,False,True,False,False
-0.15290846868540783,1.9045764962516103,-0.5203787144335694,1.7083543102064118,3,False,True,False,False,False,False,False,False
-0.3135143132368141,0.15961225504599294,3.9956181862593683,-0.6878616959598629,1,False,True,False,False,False,False,False,False
1.1319382877258424,-1.0764040824746526,0.0954390447518311,1.73897687897531,1,False,False,False,False,False,True,False,False
-0.20644375020254327,0.7464603480705013,-0.42914645381351013,-0.8486301819965778,2,True,False,False,False,False,False,False,False
-0.3135143132368141,-1.2010443854179111,4.907940792459962,0.9581013753684089,1,True,False,False,False,False,True,False,False
-0.3135143132368141,0.029778606146765467,0.00420678413177176,1.3332278427874102,1,False,True,False,False,False,True,False,False
-0.20644375020254327,-0.05331492914874019,0.3463277614569943,0.5140741282193867,1,False,True,False,False,False,False,True,False
1.2390088507601131,1.463142089994237,-0.13264160679831724,0.605941834526081,2,False,True,False,False,False,False,False,False
-0.15290846868540783,-0.8115434387202287,-0.45195451896852495,0.3533056421826718,1,True,False,False,False,False,True,False,False
-0.3135143132368141,-0.5207160651859591,0.00420678413177176,0.024113027917017447,1,False,False,True,False,False,True,False,False
-0.2599790317196787,0.8087804995421299,2.6499423421134924,-0.28976830196418785,2,False,True,False,False,False,False,False,False
-0.045837905651137,-0.988117201223178,-0.40633838865849525,-0.527093209923148,1,True,False,False,False,False,False,False,False
-0.3135143132368141,1.3125350572711327,-0.08702547648828758,-0.7873850444587817,2,False,False,False,False,False,False,False,False
0.007697375865998424,-0.16237519422409136,-0.2922980628834211,-0.8486301819965778,1,False,False,False,False,True,False,False,False
